,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n50_5.dat,6,51,5,34882,15091,2.31144,0,19569,15091,1.29673,15,5,0,0,19905,15873,1.25402,16,34320,14790,2.32049,0,19290,14790,1.30426,12,12,0,0,19701,15954,1.23486,17,36548,14899,2.45305,0,19848,14899,1.33217,13,5,0,0,18142,14661,1.23743,0,35871,14971,2.39603,0,20078,14971,1.34113,19,5,0,0,19067,15567,1.22483,19,36810,15450,2.38252,0,20346,15450,1.31689,18,9,0,0,18917,15728,1.20276,19,18917,15728,1.20276,148,148
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n50_5.dat,6,51,5,36888,13173,2.80027,0,20386,13173,1.54756,18,7,0,0,19626,13195,1.48738,17,34803,12789,2.72132,0,20257,12789,1.58394,15,5,0,0,20252,13650,1.48366,19,36924,12701,2.90717,0,20107,12701,1.5831,16,7,0,0,20234,13639,1.48354,18,37829,12830,2.94848,0,20293,12830,1.58168,17,11,0,0,20351,14027,1.45084,21,36963,12911,2.86291,0,20516,12911,1.58903,17,11,0,0,20185,14114,1.43014,18,20185,14114,1.43014,176,176
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n50_5.dat,6,51,5,39790,11230,3.54319,0,22258,11230,1.98201,19,6,0,0,22164,11559,1.91747,17,41467,11456,3.61968,0,22913,11456,2.00009,18,5,0,0,22950,12051,1.90441,21,40413,11355,3.55905,0,22620,11355,1.99207,17,5,0,0,22102,11735,1.88343,19,40600,11378,3.56829,0,23305,11378,2.04825,16,5,0,0,22076,11311,1.95173,1,39985,11199,3.57041,0,22392,11199,1.99946,19,5,0,0,22451,11694,1.91987,1,22102,11735,1.88343,111,148
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n50_5.dat,6,51,5,35277,14020,2.51619,0,18503,14020,1.31976,15,12,0,0,15849,13033,1.21607,16,35762,14257,2.50838,0,18983,14257,1.33149,16,8,0,0,15597,13049,1.19526,15,35040,13367,2.62138,0,18470,13367,1.38176,16,5,0,0,15744,12997,1.21136,1,35013,13962,2.50774,0,18926,13962,1.35554,15,4,0,0,16030,13106,1.2231,1,33937,13558,2.5031,0,19062,13558,1.40596,17,6,0,0,15634,13290,1.17637,14,15634,13290,1.17637,126,126
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n50_5.dat,6,51,5,34480,13933,2.4747,0,19217,13933,1.37924,15,5,0,0,18984,14233,1.3338,16,33643,13990,2.40479,0,19314,13990,1.38056,15,5,0,0,18904,14284,1.32344,16,33880,13465,2.51615,0,19328,13465,1.43543,16,5,0,0,18851,14287,1.31945,17,36064,13834,2.60691,0,19114,13834,1.38167,15,10,0,0,16437,12822,1.28194,15,38560,13566,2.8424,0,19246,13566,1.41869,16,6,0,0,16109,12754,1.26305,14,16109,12754,1.26305,155,155
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n100_5.dat,6,101,5,47201,28739,1.6424,0,20653,28739,0.71864,32,7,0,0,19931,29127,0.684279,37,52421,27885,1.8799,0,21149,27885,0.758436,29,6,0,0,19692,28870,0.682092,36,51368,28472,1.80416,0,21097,28472,0.740974,31,5,0,0,19864,28863,0.688217,6,49393,28244,1.7488,0,20711,28244,0.733288,34,5,0,0,19984,28857,0.692518,9,49939,28150,1.77403,0,21155,28150,0.75151,30,6,0,0,19189,28355,0.676741,35,19189,28355,0.676741,279,279
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n100_5.dat,6,101,5,47284,26640,1.77492,0,20266,26640,0.760736,30,4,0,0,19772,27576,0.717,38,51665,26361,1.9599,0,20594,26361,0.78123,31,5,0,0,20108,27505,0.731067,7,47200,26862,1.75713,0,20358,26862,0.757874,32,5,0,0,19613,26924,0.728458,9,48812,26174,1.8649,0,20003,26174,0.764232,29,5,0,0,19580,27067,0.72339,10,49109,26831,1.83031,0,20593,26831,0.767508,30,5,0,0,19535,27367,0.713816,36,19535,27367,0.713816,252,252
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n100_5.dat,6,101,5,56799,28222,2.01258,0,23003,28222,0.815073,36,12,0,0,21647,28798,0.751684,52,55599,28209,1.97097,0,22960,28209,0.813925,35,6,0,0,21141,29134,0.725647,38,55249,28163,1.96176,0,22970,28163,0.815609,37,5,0,0,21122,28677,0.736548,6,56958,27415,2.07762,0,22473,27415,0.819734,35,6,0,0,20577,28698,0.717019,38,53530,27526,1.94471,0,21844,27526,0.793577,33,5,0,0,21259,29110,0.730299,7,20577,28698,0.717019,277,317
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n100_5.dat,6,101,5,53074,27361,1.93977,0,19583,27361,0.715727,29,5,0,0,18984,27667,0.68616,37,52085,26979,1.93058,0,19342,26979,0.716928,27,8,0,0,19007,28251,0.67279,44,51295,27214,1.88488,0,19531,27214,0.717682,30,6,0,0,18395,27999,0.656988,36,54341,26616,2.04167,0,19131,26616,0.718778,27,6,0,0,18494,28305,0.653383,38,54115,26860,2.01471,0,19856,26860,0.739241,31,5,0,0,17880,27034,0.661389,8,18494,28305,0.653383,268,307
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n100_5.dat,6,101,5,57645,28865,1.99706,0,19942,28865,0.690871,27,5,0,0,20144,30823,0.653538,36,56854,29086,1.95469,0,20314,29086,0.698412,31,5,0,0,19296,29179,0.661298,9,60336,29426,2.05043,0,20473,29426,0.695745,28,5,0,0,19995,30587,0.653709,9,56975,28377,2.00779,0,20050,28377,0.706558,28,5,0,0,19296,29179,0.661298,8,56546,29479,1.91818,0,20520,29479,0.696089,30,8,0,0,19869,30556,0.650249,38,19869,30556,0.650249,244,244
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n100_5.dat,6,101,5,52128,27565,1.89109,0,23307,27565,0.845529,34,6,0,0,23580,29287,0.805135,48,56069,27075,2.07088,0,23413,27075,0.864746,38,4,0,0,23732,29314,0.809579,9,53615,27529,1.94758,0,23118,27529,0.839769,34,4,0,0,23732,29314,0.809579,7,56039,27538,2.03497,0,23309,27538,0.84643,33,6,0,0,22135,27572,0.802807,42,51265,27227,1.88287,0,22774,27227,0.836449,33,5,0,0,22370,27769,0.805575,9,22135,27572,0.802807,245,287
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n100_5.dat,6,101,5,50743,26505,1.91447,0,21130,26505,0.797208,28,6,0,0,19412,26387,0.735665,35,54142,26976,2.00704,0,21372,26976,0.79226,31,5,0,0,20295,27094,0.749059,9,53257,26584,2.00335,0,21802,26584,0.820117,48,6,0,0,19130,26387,0.724978,33,53283,26856,1.98403,0,21552,26856,0.802502,31,5,0,0,19416,26248,0.739714,9,54742,26909,2.03434,0,21427,26909,0.796276,31,5,0,0,20656,28021,0.737161,8,19130,26387,0.724978,184,263
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n100_5.dat,6,101,5,49584,28250,1.75519,0,22811,28250,0.807469,37,5,0,0,22297,28896,0.771629,48,49330,28295,1.74342,0,22921,28295,0.810072,38,5,0,0,21300,27099,0.786007,10,50989,27841,1.83144,0,23212,27841,0.833734,40,5,0,0,22027,28359,0.77672,10,51847,28037,1.84923,0,23086,28037,0.823412,40,5,0,0,22155,28634,0.773731,11,49460,26985,1.83287,0,22164,26985,0.821345,40,7,0,0,22176,28896,0.767442,48,22176,28896,0.767442,322,322
